,rho,Joh,U,TE,NE,Jtot,aMHD,Paux,Nalf,Jbs,q,TI,Nd+t,Jext,jdj,TN,Nz,Jnoh,Nath,Dn,Cn,Jnb,Nb,XiNC,shif,Jrf,Naff,He,del,Jbsa,Zeff,Xi,k,Plin,Pdte,Pex,Peic,Psyn,Pdt,Pnbe,PeEX,Prad,Pdti,Pix,Pneu,Pbrm,Poh,Pibm,PiEX,x,EQFF,rqst,bFa%,Fp,Torq,ptot,bth%,Anrm,EQPF,rst1,bnb%,xq,WkHz,pNB,dRdh
0,0.008843,1.421,0.01938,26.96,11.29,1.528,0.006044,0.04089,0.8228,0.01544,0.9086,23.49,8.471,0.09183,2.095,22.19,0.2394,0.1073,0.7302,0.06085,0,0.09183,0.02827,5.62,0.2142,3.476e-09,0.09256,0.2028,0.0,0.001705,1.753,0.4057,1.426,0.01101,0.3077,4.22e-09,0.05021,0.02429,0.5262,0.01764,0.01764,0.09401,0.2181,0,-0.0001618,0.05871,0.0007372,0.02325,0.02325,0.003279,0.6297,0.001829,1.315,1.834e-05,0.006609,1.007,7.486,0.003708,0.8936,0.01906,0.1552,0.006558,2.291,0.01745,7.061
1,0.02653,1.361,0.01942,26.95,11.29,1.487,0.01265,0.04099,0.8225,0.03334,0.9277,23.48,8.471,0.09228,2.038,22.2,0.2394,0.1256,0.73,0.06087,0,0.09228,0.02834,2.772,0.2142,5.983e-09,0.09252,0.2029,-0.02109,1.135e-05,1.753,0.4058,1.426,0.01101,0.3077,7.264e-09,0.05022,0.02428,0.526,0.01768,0.01768,0.09399,0.2181,0,-0.0001593,0.0587,0.0007189,0.02331,0.02331,0.009837,0.6291,0.003617,1.314,0.0001651,0.006625,1.007,7.484,0.01112,0.854,0.03135,0.1556,0.01312,2.291,0.0175,4.162
2,0.04422,1.316,0.01952,26.94,11.29,1.455,0.01961,0.04129,0.822,0.0451,0.9433,23.47,8.472,0.09351,1.995,22.2,0.2394,0.1386,0.7295,0.0609,0,0.09351,0.02854,1.832,0.2141,1.02e-08,0.09243,0.203,-0.02322,0.0003015,1.753,0.406,1.427,0.01101,0.3077,1.239e-08,0.05025,0.02427,0.5258,0.01781,0.01781,0.09396,0.2179,0,-0.0001572,0.05868,0.000707,0.02347,0.02347,0.0164,0.5983,0.005408,1.313,0.0004524,0.006672,1.006,7.48,0.01853,0.8521,0.0366,0.1567,0.01967,2.29,0.01762,3.278
3,0.0619,1.284,0.01964,26.91,11.29,1.434,0.0268,0.04176,0.8212,0.05452,0.9555,23.45,8.473,0.09545,1.966,22.19,0.2394,0.15,0.7289,0.06095,0,0.09545,0.02886,1.361,0.2141,1.722e-08,0.09231,0.2032,-0.0242,0.001059,1.753,0.4063,1.429,0.01101,0.3076,2.09e-08,0.0503,0.02425,0.5255,0.01802,0.01802,0.09391,0.2176,0,-0.0001552,0.05865,0.0007012,0.02374,0.02374,0.02295,0.5744,0.007179,1.311,0.0008764,0.006748,1.006,7.474,0.02592,0.8542,0.03642,0.1584,0.02623,2.289,0.01781,2.806
4,0.07959,1.26,0.01979,26.88,11.29,1.421,0.03411,0.04241,0.8201,0.06286,0.9646,23.42,8.475,0.09806,1.948,22.17,0.2394,0.1609,0.728,0.06101,0,0.09806,0.0293,1.077,0.214,2.874e-08,0.09214,0.2034,-0.02453,0.00198,1.752,0.4067,1.432,0.01101,0.3075,3.49e-08,0.05036,0.02422,0.525,0.01831,0.01831,0.09384,0.2173,0,-0.0001533,0.05861,0.0007003,0.0241,0.0241,0.02951,0.5613,0.008992,1.308,0.001434,0.006852,1.005,7.466,0.03328,0.854,0.03487,0.1608,0.03279,2.287,0.01808,2.498
5,0.09728,1.241,0.01997,26.85,11.29,1.413,0.04145,0.04324,0.8188,0.07059,0.9716,23.38,8.477,0.1013,1.937,22.15,0.2394,0.1719,0.7269,0.06109,0,0.1013,0.02986,0.8866,0.2139,4.754e-08,0.09192,0.2036,0.005597,0.002973,1.752,0.4072,1.435,0.01101,0.3073,5.772e-08,0.05043,0.02419,0.5245,0.01868,0.01868,0.09376,0.2169,0,-0.0001516,0.05856,0.000703,0.02456,0.02456,0.03607,0.5401,0.01087,1.305,0.002125,0.006986,1.003,7.455,0.04064,0.8663,0.03145,0.1638,0.03935,2.286,0.01842,2.276
6,0.115,1.226,0.02016,26.8,11.29,1.409,0.04875,0.04422,0.8172,0.07789,0.9769,23.34,8.479,0.1051,1.931,22.12,0.2394,0.183,0.7255,0.06118,0,0.1051,0.03052,0.7503,0.2137,7.791e-08,0.09167,0.2039,0.03589,0.003997,1.752,0.4079,1.437,0.01102,0.3072,9.459e-08,0.05052,0.02415,0.5238,0.01912,0.01912,0.09366,0.2164,0,-0.00015,0.0585,0.0007071,0.0251,0.0251,0.04263,0.5161,0.01282,1.301,0.002949,0.007142,1.002,7.443,0.048,0.8841,0.02825,0.1674,0.04591,2.283,0.01882,2.103
7,0.1327,1.212,0.02036,26.75,11.29,1.406,0.05602,0.04529,0.8153,0.08486,0.9809,23.29,8.481,0.1092,1.927,22.09,0.2393,0.1941,0.724,0.06129,0,0.1092,0.03123,0.6481,0.2136,1.265e-07,0.09137,0.2043,0.03574,0.005036,1.752,0.4086,1.439,0.01102,0.307,1.536e-07,0.05063,0.0241,0.523,0.0196,0.0196,0.09355,0.2158,0,-0.0001484,0.05843,0.0007131,0.02569,0.02569,0.04919,0.492,0.01485,1.297,0.003904,0.007314,1.0,7.428,0.05535,0.9042,0.02451,0.1712,0.05247,2.281,0.01926,1.965
8,0.1503,1.199,0.02056,26.7,11.29,1.405,0.0632,0.04643,0.8132,0.09157,0.984,23.24,8.484,0.1135,1.925,22.05,0.2393,0.2051,0.7222,0.06142,0,0.1135,0.03198,0.5686,0.2134,2.035e-07,0.09103,0.2047,0.03492,0.006079,1.751,0.4094,1.44,0.01103,0.3068,2.471e-07,0.05075,0.02405,0.5221,0.02011,0.02011,0.09342,0.2151,0,-0.000147,0.05835,0.0007193,0.02632,0.02632,0.05575,0.4651,0.01697,1.292,0.004991,0.007495,0.9984,7.412,0.0627,0.9279,0.02106,0.1753,0.05902,2.277,0.01971,1.85
9,0.168,1.188,0.02077,26.63,11.29,1.404,0.07029,0.04757,0.8108,0.09802,0.9863,23.18,8.488,0.1178,1.925,22.0,0.2393,0.2158,0.7202,0.06156,0,0.1178,0.03274,0.5051,0.2132,3.244e-07,0.09065,0.2052,0.03406,0.007121,1.751,0.4104,1.442,0.01103,0.3065,3.939e-07,0.05088,0.02399,0.5211,0.02063,0.02063,0.09327,0.2143,0,-0.0001456,0.05826,0.0007264,0.02694,0.02694,0.0623,0.4367,0.01914,1.286,0.00621,0.007677,0.9961,7.393,0.07004,0.9541,0.01825,0.1794,0.06558,2.274,0.02017,1.752
